sentence,page,section_path,claim_type,strength,quantity,baseline,deadline,scope,slot_fill_score,source_file
"Action: Restoring landscape in South Africa To support our objective of reversing nature loss and contributing to the Global Goals on Biodiversity, we are implementing landscape-level projects in South Africa, one submitted to SBTN as a Land Target 3 project.",45,Biodiversity and ecosystems,target,hedged,3,,,,0.25,data/raw/hm/2025_sustainability_report.pdf
"Our progress and results During 2025, we made progress toward reducing our impact on nature and supporting biodiversity protection and restoration.",45,Biodiversity and ecosystems,other,,"2025,",,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"Throughout the year, we continued our efforts to avoid and reduce land‑use changes and the conversion of natural ecosystems by increasing the use of sustainably sourced materials.",45,Biodiversity and ecosystems,attribute,,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"In parallel, we increased the use of recycled materials to help minimise the land required for production.",45,Biodiversity and ecosystems,attribute,achievement,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"Our commitment to increasing the share of recycled and sustainably sourced materials, improving raw‑material traceability, and continued collaboration with WWF will remain central to achieving our biodiversity ambitions.",45,Biodiversity and ecosystems,attribute,firm,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"To address this matter, we are increasing the use of recycled materials and improving resource efficiency.",45,Biodiversity and ecosystems > Land degradation,attribute,,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"We also strive to support the circulation of products and materials to their highest value, improve resource efficiency, and increase the proportion of products and packaging that are reused and recycled.",46,Resource use and circular economy,attribute,hedged,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"To achieve this ambition, we focus our efforts on shifting towards using recycled or sustainably sourced ­materials for our products and packaging, improving product durability and recyclability, and scaling services that extend product life such as resale.",46,Resource use and circular economy,target,hedged,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"Our efforts within this area are closely aligned with our strategic priorities, with a focus on generating growth through new business models, shifting towards increasing the use of recycled or sustainably sourced materials, and enhancing customer ­relevance and convenience.",46,Resource use and circular economy,attribute,,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
This includes a commitment to transitioning away from using virgin materials and increasing the use of recycled or sustainably sourced materials.,46,Resource use and circular economy,attribute,firm,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"Our targets and actions To ensure we achieve our ambition of decoupling growth from resource use, we have set targets related to our actions to increase the use of recycled and sustainably sourced materials.",46,Resource use and circular economy,target,hedged,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"Resource use and inflows We have set a target to use 100 percent recycled or sustainably sourced materials in our products by 2030, with an aim to achieve 50 percent recycled materials.",46,Resource use and circular economy > Targets for 2030,target,hedged,100 percent,,2030,,0.5,data/raw/hm/2025_sustainability_report.pdf
"In addition, we have set a milestone target to use at least 30 percent recycled materials in our products by 2025.",46,Resource use and circular economy > Targets for 2030,target,,30 percent,,2025,,0.5,data/raw/hm/2025_sustainability_report.pdf
"These targets have been developed based on input from the Textile Exchange Fiber & Material Matrix and their goal to guide the industry towards reducing greenhouse gas emissions from fibre and raw material production, and their industry challenges on for example recycled polyester.",46,Resource use and circular economy > Targets for 2030,attribute,achievement,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"Action: Increase the use and availability of recycled materials During 2025, we have taken action to increase the use of recycled materials in our products and packaging.",46,Resource use and circular economy > Targets for 2030,attribute,,"2025,",,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"To address the limited access to recycled alternatives, we continued to support our investment in Syre for textile-­totextile recycled polyester and signed a multi-year agreement to source ­CIRCULOSE® as a replacement for virgin viscose.",46,Resource use and circular economy > Targets for 2030,attribute,hedged,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"We collaborated with RE&UP, Recover, and Loopamid to scale preand post-consumer recycled feedstock, particularly for cotton and polyester, and launched our first ­collection from the UNIDO SWITCH2CE pilot in Bangladesh.",46,Resource use and circular economy > Targets for 2030,attribute,achievement,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"We continue to incorporate Global Recycling standard (GRS), Recycling Claim standard (RCS), and ­Forest Stewardship Council (FSC) certified recycled materials into our material roadmaps and phased out virgin polyester and down.",46,Resource use and circular economy > Targets for 2030,attribute,achievement,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
These actions support our 2030 target of achieving 100 percent recycled or sustainably sourced materials and contribute to our GHG emission reduction targets.,46,Resource use and circular economy > Targets for 2030,target,hedged,100 percent,,,,0.25,data/raw/hm/2025_sustainability_report.pdf
"In 2025, we allocated a total of SEK 801 m OpEx on initiatives with the aim to increase the use and availability of recycled materials.",46,Resource use and circular economy > Targets for 2030,attribute,hedged,"2025,",,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"Action: Increase the use and availability of sustainably sourced materials During 2025, we took action to increase the use of sustainably sourced ­materials in our products and packaging.",46,Resource use and circular economy > Targets for 2030,attribute,,"2025,",,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"In 2025 we invested in two new projects to scale these practices together with the Better Cotton Initiative, The sustainable trade initiative (IDH) and Regenerative Production Landscape Collective (RPLC) aimed at reaching 35,000 farmers.",46,Resource use and circular economy > Targets for 2030,other,,2025,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"In 2025, we allocated a total of SEK 443.5 m OpEx on initiatives with the aim to increase the use and availability of sustainably sourced materials.",46,Resource use and circular economy > Targets for 2030,attribute,hedged,"2025,",,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"To address this matter, we monitor materials environmental impact and material alternatives in support of our transition where we focus on scaling the use and availability of recycled and sustainably sourced materials within our value chain.",46,Resource use and circular economy > Materials and resource use (resource inflows),attribute,hedged,,,,value chain,0.5,data/raw/hm/2025_sustainability_report.pdf
"To reduce this risk, we invest in new ventures and ­initiatives that support the use and availability of ­recycled or sustainably sourced materials, and new solutions.",46,Resource use and circular economy > Risk of reduced availability of raw materials,attribute,hedged,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
We have an opportunity to reduce the dependence on virgin and conventional materials by scaling solutions for recycled and sustainably sourced materials.,46,Resource use and circular economy > Opportunity to improve business resilience,attribute,,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"To realise this opportunity, we focus on shifting towards using recycled or sustainably sourced materials for our products and packaging.",46,Resource use and circular economy > Opportunity to improve business resilience,attribute,,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"In addition, we invest in ventures and technologies that increase the availability of recycled or sustainably sourced materials.",46,Resource use and circular economy > Opportunity to improve business resilience,attribute,,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"Resource outflows and waste For 2025, we have not set any time-bound or action-oriented targets related to resource outflows and waste.",47,Resource use and circular economy > Opportunity to improve business resilience,other,,"2025,",,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"To achieve our policy commitment, we plan to scale services and solutions that align with circular economy principles by designing durable, recyclable products, offering services such as resale and garment collection, and implementing waste management strategies.",47,Resource use and circular economy > Opportunity to improve business resilience,attribute,firm,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"Action: Increasing durability and recyclability of products In 2025, we took action to support the improvement of product durability, recyclability, and resource efficiency across our operations and upstream value chain.",47,Resource use and circular economy > Opportunity to improve business resilience,other,hedged,"2025,",,,own operations; value chain; upstream,1.0,data/raw/hm/2025_sustainability_report.pdf
"For recyclability, we updated internal definitions, built reporting tools, and assessed recyclable content to identify improvement areas.",47,Resource use and circular economy > Opportunity to improve business resilience,attribute,,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"The expected outcome of this action is reduced environmental impact, optimised resource use and improved circularity through longer-­lasting, more recyclable products.",47,Resource use and circular economy > Opportunity to improve business resilience,attribute,achievement,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"Action: Scaling services and business models that align with circular economy principles In 2025, we advanced services and business models that extend product use and enable products to circulate at their highest value.",47,Resource use and circular economy > Opportunity to improve business resilience,other,,"2025,",,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"Action: Increasing the share of waste directed to reuse and recycling In 2025, we advanced our waste strategies to reduce negative environmental impacts and ensure alignment with the EU waste hierarchy and circular economy principles.",47,Resource use and circular economy > Opportunity to improve business resilience,other,,"2025,",,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"Additionally, we continued collaborating with partners such as Looper Textiles and participated in multi-stakeholder initiatives, including the Global Circular Fashion Forum and UNIDO SWITCH2CE.",47,Resource use and circular economy > Opportunity to improve business resilience,other,,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"These efforts are expected to continue to 2030, aimed at ­further increasing reuse and recycling.",47,Resource use and circular economy > Opportunity to improve business resilience,other,,"2030,",,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"As a founding member of Canopy Style and member of Pack4Good, we work to transform the man-made cellulosic fibre (MMCF) and packaging supply chains to eliminate sourcing from ancient and endangered forests and scale next-generation alternative fibres.",47,Resource use and circular economy > Opportunity to improve business resilience,other,,,,,supply chain,0.5,data/raw/hm/2025_sustainability_report.pdf
"We have been a member of Textile Exchange since 2004, contributing to industry-wide efforts that transform how we produce, choose and reuse materials to benefit people and places at the source.",47,Resource use and circular economy > Opportunity to improve business resilience,achievement,achievement,"2004,",,,,0.33,data/raw/hm/2025_sustainability_report.pdf
"We are also one of the founding members of the Better Cotton Initiative (BCI) and the Organic Cotton Accelerator (OCA), which are committed to create a transparent, responsible and resilient organic cotton supply chain.",47,Resource use and circular economy > Opportunity to improve business resilience,attribute,firm,,,,supply chain,0.5,data/raw/hm/2025_sustainability_report.pdf
"We also contribute to the UNIDO SWITCH2CE programme, a pilot project in Bangladesh focused on sorting and recycling blended textile waste, building supplier capacity and supporting practices that contribute to a circular economy.",47,Resource use and circular economy > Opportunity to improve business resilience,other,hedged,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"Our progress and results During 2025, 91 percent of the materials used in our commercial products were recycled or sustainably sourced, and 32 percent were recycled, in line with our targets.",47,Resource use and circular economy > Opportunity to improve business resilience,achievement,achievement,91 percent,,,,0.33,data/raw/hm/2025_sustainability_report.pdf
"The increase for recycled material was driven by an increase in the share of recycled polyester, now reaching 100 percent.",47,Resource use and circular economy > Opportunity to improve business resilience,achievement,achievement,100 percent,,,,0.33,data/raw/hm/2025_sustainability_report.pdf
"We made progress toward our target to increase recycled or sustainably sourced materials for packaging, reaching 86 percent during 2025.",47,Resource use and circular economy > Opportunity to improve business resilience,attribute,,86 percent,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"This progress reflects an increased share of sustainably sourced virgin paper and cardboard, in line with our target to not source conventional virgin paper and cardboard after the end of year 2025.",47,Resource use and circular economy > Opportunity to improve business resilience,attribute,achievement,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"Recycled packaging materials reached 51 percent, reflecting a gradual reduction in plastic and cardboard packaging where the share of recycled content is high.",47,Resource use and circular economy > Opportunity to improve business resilience,achievement,achievement,51 percent,,,,0.33,data/raw/hm/2025_sustainability_report.pdf
"1. Material weight = including waste generated during production, excluding lining, trims and filling on garments.",47,Resource use and circular economy > Commercial materials and products,other,,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"Through our in‑store Garment Collect programme, we collected 17,808 tonnes of garments, directing 60 percent to reuse, 29 percent to recycling and 11 percent directed to disposal, prioritising energy recovery.",47,Resource use and circular economy > Share of materials used in commercial products,other,,"17,808 tonnes",,,,0.5,data/raw/hm/2025_sustainability_report.pdf
Fewer ­garments were sent to reuse compared with 2024 due to a lower share of ­re­usable items collected leading to an increased share directed to recycling.,47,Resource use and circular economy > Share of materials used in commercial products,achievement,achievement,2024,2024,,,0.67,data/raw/hm/2025_sustainability_report.pdf
"In our own operations, 91 percent of waste was directed to reuse and re­­ cycling, 7 percent was directed to disposal, and 2 percent directed to landfill.",47,Resource use and circular economy > Share of materials used in commercial products,achievement,achievement,91 percent,,,own operations,0.67,data/raw/hm/2025_sustainability_report.pdf
"The 2 percent sent to landfill consists mainly of mixed waste that remains challenging to separate and recycle, such as food packaging, mixed foils and desiccants, in markets lacking other disposal methods.",47,Resource use and circular economy > Share of materials used in commercial products,other,,2 percent,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"Our internal material categorisation of recycled and sustainably sourced materials is guided by sustainability criteria, industry frameworks such as Textile Exchange, and aligned with ESRS.",48,Resource use and circular economy > Hazardous and non-hazardous waste,attribute,,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"Our internal material categorisation of recycled and sustainably sourced materials is aligned with EU packaging regulations and verified through voluntary standards and certifications, such as FSC, GRS, and RCS.",48,Resource use and circular economy > Hazardous and non-hazardous waste,attribute,,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"Due to challenges in extracting data from the local partner, Iceland is not included in the 2025 reporting. ­Iceland represents a very small share of total volumes, and its exclusion does not materially affect the reported results.",48,Resource use and circular economy > Hazardous and non-hazardous waste,other,,2025,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"This change has led to an increase of total weight of material in commercial products with 7 percent or 35,235 tonnes and an increase of total weight of commercial products with 5 percent or 18,325 tonnes for 2024 as compared to what was reported in our 2024 annual and sustainability report.",48,Resource use and circular economy > Hazardous and non-hazardous waste,achievement,achievement,7 percent,,,,0.33,data/raw/hm/2025_sustainability_report.pdf
It has also led to minor changes in the share of recycled or sustainably sourced materials for commercial products.,48,Resource use and circular economy > Hazardous and non-hazardous waste,attribute,,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"This change has led to a decrease of total weight of packaging material with 2 percent or 2,227 tonnes for 2024 as compared to what was reported in our 2024 annual and sustainability report.",48,Resource use and circular economy > Hazardous and non-hazardous waste,achievement,achievement,2 percent,,,,0.33,data/raw/hm/2025_sustainability_report.pdf
It has also led to minor changes in the share of recycled materials for packaging.,48,Resource use and circular economy > Hazardous and non-hazardous waste,attribute,,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"In our own operations, 91 percent of waste was directed to reuse and recycling, while 7 percent was sent for disposal and 2 percent to landfill.",48,Resource use and circular economy > Hazardous and non-hazardous waste,achievement,achievement,91 percent,,,own operations,0.67,data/raw/hm/2025_sustainability_report.pdf
"Non-recycled waste amounted to 7,470 tonnes, representing 14 percent of total operational waste.",48,Resource use and circular economy > Hazardous and non-hazardous waste,attribute,,"7,470 tonnes",,,,0.5,data/raw/hm/2025_sustainability_report.pdf
1. Product waste includes products discarded in our own operations in stores or in distribution centres.,48,Resource use and circular economy > Waste generated in own operations,other,,,,,own operations,0.5,data/raw/hm/2025_sustainability_report.pdf
2. Packaging and other operational waste include all packaging waste & other operational waste generated at our distribution centres.,48,Resource use and circular economy > Waste generated in own operations,other,,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"Assessment of eligibility While we acknowledge the 10 percent threshold introduced by Commission Delegated Regulation (EU) 2026/73, H&M Group will report eligible economic activities based on the internally set threshold for 2025 if the activities are considered material to H&M Group’s business.",49,Reporting in line with article 8 of the EU Taxonomy Regulation,other,firm,10 percent,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
Circular Economy (CE) 5.4 Sale of second-hand goods.,49,Reporting in line with article 8 of the EU Taxonomy Regulation,other,,5.4,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
The description of economic activity 5.4 under the circular economy delegated act states that only second-hand goods used for intended purpose by customers shall be included.,49,Reporting in line with article 8 of the EU Taxonomy Regulation,other,firm,5.4,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"Climate Change Mitigation (CCM) 7.3 Installation, maintenance and repair of energy efficient equipment H&M Group is undertaking various energy efficiency projects, many of which are immaterial or of financial support, rather than of an investment nature.",49,Reporting in line with article 8 of the EU Taxonomy Regulation,other,hedged,7.3,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"This project falls under the EU ­Taxonomy economic activity 7.3 Installation, maintenance and repair of energy efficient equipment under climate change mitigation delegated act and is therefore included in the taxonomy reporting.",49,Reporting in line with article 8 of the EU Taxonomy Regulation,other,,7.3,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"Climate Change Mitigation (CCM) 7.5 Installation, maintenance and repair of instruments and devices for measuring, regulation and controlling energy performance of buildings H&M Group is investing in the maintenance and repair of building energy management systems (BEMS) and lighting control systems and energy management systems (EMS) in existing stores.",49,Reporting in line with article 8 of the EU Taxonomy Regulation,other,,7.5,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"Such investments fall under the EU Taxonomy economic activity 7.5 Installation, maintenance and repair of instruments and devices for measuring, regulation and controlling energy performance of buildings under climate change mitigation delegated act and is therefore included in our taxonomy reporting.",49,Reporting in line with article 8 of the EU Taxonomy Regulation,other,,7.5,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"Climate Change Mitigation (CCM) 7.7 Acquisition and ownership of buildings H&M Group has an extensive amount of right of use of assets, as all store locations are leased.",49,Reporting in line with article 8 of the EU Taxonomy Regulation,other,,7.7,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
All H&M Group’s new or renegotiated rights of use assets fall under the EU Taxonomy economic activity 7.7 Acquisition and owner­ship of buildings under climate change mitigation delegated act and are therefore included in the taxonomy reporting.,49,Reporting in line with article 8 of the EU Taxonomy Regulation,other,,7.7,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"Non-material economic activities H&M Group undertakes additional economic activities beyond those listed above: however, their total value is below an internally set threshold of ­ SEK 50 m. These economic activities are considered non-material to H&M Group’s business.",49,Reporting in line with article 8 of the EU Taxonomy Regulation,other,,50,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"Such economic activities are installation, maintenance and repair of renewable energy technologies – solar panels (7.6 CCM/CCA) and data-driven ­solutions for GHG emissions reduction (8.2 CCM/CCA).",49,Reporting in line with article 8 of the EU Taxonomy Regulation,other,,7.6,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
CE 5.4 Compliance with the technical screening criteria of substantial contribution to circular economy The economic activity consists of selling a second-hand product that has been used for its intended purpose by a customer.,49,Reporting in line with article 8 of the EU Taxonomy Regulation,achievement,achievement,5.4,,,,0.33,data/raw/hm/2025_sustainability_report.pdf
The packaging used by Sellpy meets the requirement of at least 65 percent recycled ­material.,49,Reporting in line with article 8 of the EU Taxonomy Regulation,attribute,,65 percent,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"CE 5.4 Compliance with the technical screening criteria of not causing significant harm (DNSH) Climate change mitigation In line with the criteria, the direct GHG emissions coming from on-site ­generation of heat/cool or co-generation including power (i.e., from the warehouses that handle Sellpy’s operations) are lower than 270 gCO2e/kWh.",49,Reporting in line with article 8 of the EU Taxonomy Regulation,other,,5.4,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"As part of the efforts to reduce emissions, the H&M group climate strategy and reporting data also covers Scope 1 and 2 of Sellpy’s emissions, while Sellpy reports its own transport emissions.",49,Reporting in line with article 8 of the EU Taxonomy Regulation,other,,1,,,Scope 1,1.0,data/raw/hm/2025_sustainability_report.pdf
"In 2025, we continued to work on initiatives such as global health and safety week that promote employee wellbeing, ­helping to create healthier, more balanced working environments.",52,Own workforce > Work-life balance,other,,"2025,",,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"We will continue to explore ways to strengthen our efforts in Tier 3 and 4 of our supply chain, as well as develop actions to manage potential negative impacts for people working in our downstream value chain.",56,Workers in the value chain > Sexual harassment and gender-based violence in the value chain,other,firm,3,,,value chain; supply chain; downstream,1.0,data/raw/hm/2025_sustainability_report.pdf
"Action: Working conditions in raw material extraction (Tier 4) In 2025, we strengthened our due diligence processes to uphold decent working conditions at our Tier 4 supplier sites by working in closer collaboration with organisations such as the Better Cotton Initiative (BCI) and Organic Cotton Accelerator (OCA).",56,Workers in the value chain > Targets for 2030,attribute,,4,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
Due to a technical issue this was wrongly stated as 100 percent in our 2024 annual and sustainability report.,57,Workers in the value chain > Supply chain management,achievement,achievement,100 percent,,,,0.33,data/raw/hm/2025_sustainability_report.pdf
Supply chain management – Health and safety committees Covers Tier 1 units with occupational health and safety (OHS) committees verified via Facility Social & Labor Module (FSLM) assessments.,57,Workers in the value chain > Human rights issues raised with national monitoring committees (NMC),other,,1,,,supply chain; supply chain (tier 1),1.0,data/raw/hm/2025_sustainability_report.pdf
Supply chain management – Trade union representation Covers Tier 1 units with registered trade unions.,57,Workers in the value chain > Human rights issues raised with national monitoring committees (NMC),other,,1,,,supply chain; supply chain (tier 1),1.0,data/raw/hm/2025_sustainability_report.pdf
Supply chain management – Collective bargaining agreements Covers Tier 1 units with legally binding collective bargaining agreements (CBA).,57,Workers in the value chain > Human rights issues raised with national monitoring committees (NMC),other,,1,,,supply chain; supply chain (tier 1),1.0,data/raw/hm/2025_sustainability_report.pdf
"This includes activities such as the use and management of chemicals in Tier 1 and 2 of our supply chain, as well as the use of land to extract raw materials in Tier 3 and 4.",57,Affected communities,other,,1,,,supply chain; supply chain (tier 1),1.0,data/raw/hm/2025_sustainability_report.pdf
"Overall, our progress in 2025 reflects continued integration of human rights considerations into supply chain management.",57,Affected communities,other,,2025,,,supply chain,1.0,data/raw/hm/2025_sustainability_report.pdf
"To ensure we reach these targets and fulfil our policy ­commitments, we plan to shift towards using recycled and sustainably sourced materials for our products.",58,Affected communities > Community access to a clean and healthy environment,attribute,hedged,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
"In 2026, we also plan to develop a pilot project to establish a community complaint mechanism in collaboration with WaterAid.",58,Affected communities > Community access to a clean and healthy environment,other,hedged,"2026,",,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"Action: Respecting land rights and livelihoods During 2025, we have taken action to support people living in communities affected by raw material extraction near our Tier 4 supplier sites.",58,Affected communities > Community access to a clean and healthy environment,other,hedged,"2025,",,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"Action: Securing access to clean water and a healthy environment To further support affected communities and their access to clean water and a healthy environment, we require all our Tier 1 and 2 suppliers to comply with national regulations as well as ZDHC standards for wastewater treatment and discharge water quality.",58,Affected communities > Community access to a clean and healthy environment,other,hedged,1,,,supply chain (tier 1),1.0,data/raw/hm/2025_sustainability_report.pdf
During 2025 we have also strengthened our policy commitments to ensure we work towards ensuring the access to a clean and healthy environment for people living in affected communities.,58,Affected communities > Community access to a clean and healthy environment,other,hedged,2025,,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"Our progress and results During 2025, we strengthened our efforts to reduce pressure on land and natural resources by increasing the use of recycled and sustainably sourced materials, with a particular focus on Tier 4.",58,Affected communities > Community access to a clean and healthy environment,attribute,,"2025,",,,,0.5,data/raw/hm/2025_sustainability_report.pdf
"To address this matter, we uphold strict animal welfare ­standards by prohibiting fur, exotic skins, and materials from endangered species, while promoting recycled animal fibres and alternatives.",60,Business conduct > Animal welfare,attribute,,,,,,0.0,data/raw/hm/2025_sustainability_report.pdf
